"TICKER_BLOOMBERG","DESCRIPTION","COUNTRY","METALS","TYPE","UNITS"
ZSCTAVAK Index,Zinc LME COT Investment Funds Net Contracts Other,Global,Zinc,Investor Positioning,Contracts
CLPCTOTL Index,Chile Copper Production Total,Chile,Copper,Mine Production,Metric Tonne
PRMMCOPP Index,Peru Copper Production Monthly,Peru,Copper,Mine Production,metric tonne
EUIPEMUY Index,Eurozone Industrial Production YoY%,Eurozone,Demand,Industrial Production,%
GEINYY Index,Germany Industrial Production YoY%,Germany,Demand,Industrial Production,%
CECNPR13 SMMC Index,SMM China Copper Cathode Rod Output,China,Copper,Refined Production,"10000 metric tonnes"
CECNPR12 SMMC Index,SMM China Copper Tube And Pipe Output,China,Copper,Refined Production,"10000 metric tonnes"
CECNPR11 SMMC Index,China Copper Plate/Sheet And Strip Output,China,Copper,Refined Production,"10000 metric tonnes"
CECNPR05 SMMC Index,China Copper Cathode Output Monthly,China,Copper,Refined Production,metric tonne
CECNRN04 SMMC Index,China Copper Smelting and Refinery Total Operating Rates,China,Copper,Utilization Rates,%
CECNRN01 SMMC Index,China Copper Smelting and Refinery Large Plants Operating Rates,China,Copper,Utilization Rates,%
CECNRN02 SMMC Index,China Copper Smelting and Refinery Medium Plants Operating Rates,China,Copper,Utilization Rates,%
AICNIWSH SMMC Index,"CIF, Physical Premium Aluminium",Global,Aluminium ,Price,USD/MT
CNLCIGRD Index,China Investment In Grid Infrastructure Cum,China,Demand,Power,Billions
CNLCIPPT Index,China Investment In Power Plants Cum,China,Demand,Power,Billions
CNLCCPSP Index,China Capacity of Solar Power Plants Cum,China,Demand,Power,Million kW
CNLCCPWT Index,China Capacity Of Grid Connected Windpower Plants Cum,China,Demand,Power,Million kW
CHVAIOY Index,China Industrial Production YoY%,China,Demand,Industrial Production,%
RUIPRNYY Index,Russia Industrial Production YoY%,Russia,Demand,Industrial Production,%
CUOIIQTL Index,China Customs Total Copper Ores Import Quantity,China,Copper,Trade,metric tonne
CPWIIQTL Index,China Customs Copper Waste & Scrap Total Imports Quantity,China,Copper,Trade,metric tonne
INPIINDY Index,India Industrial Production YoY%,India,Demand,Industrial Production,%
CURIIQTL Index,China refined copper Imports,China,Copper,Trade,metric tonne
CURIEQTL Index,China refined copper Exports,China,Copper,Trade,metric tonne
AMJPCNF HARA Index,Japan Aluminum Ingot Premium Cost & Freight,Japan,Aluminium,Premium,USD/metric tonne
JNIPYOY Index,Japan Industrial Production YoY%,Japan,Demand,Industrial Production,%
CNEVCOPP Index,China semis copper Exports,China,Copper,Trade,Thousand Tonnes
CNIVCOPP Index,China semis copper Imports,China,Copper,Trade,Thousand Tonnes
LMPBDS03 Comdty,LME Lead 3M Fwd,Global,Lead,Price,USD/MT
LMNIDS03 Comdty,LME Nickel 3M Fwd,Global,Nickel,Price,USD/MT
LPE1 Comdty,Copper 1M 50D Vol,Global,Copper,Price,%
LPP1 Comdty,Copper 1M 25DC Vol,Global,Copper,Price,%
LPO1 Comdty,Copper 1M 10DC Vol,Global,Copper,Price,%
LPC1 Comdty,Copper 1M 25DP Vol,Global,Copper,Price,%
LPD1 Comdty,Copper 1M 10DP Vol,Global,Copper,Price,%
LAE1 Comdty,Aluminium 1M 50D Vol,Global,Aluminium ,Price,%
LAP1 Comdty,Aluminum 1M 25DC Vol,Global,Aluminium ,Price,%
LAO1 Comdty,Aluminium 1M 10DC Vol,Global,Aluminium ,Price,%
LAC1 Comdty,Aluminium 1M 25DP Vol,Global,Aluminium ,Price,%
LAD1 Comdty,Aluminium 1M 10DP Vol,Global,Aluminium ,Price,%
LXE1 Comdty,Zinc 1M 50D Vol,Global,Zinc,Price,%
LXP1 Comdty,Zinc 1M 25DC Vol,Global,Zinc,Price,%
LXO1 Comdty,Zinc 1M 10DC Vol,Global,Zinc,Price,%
LXC1 Comdty,Zinc 1M 25DP Vol,Global,Zinc,Price,%
LXD1 Comdty,Zinc 1M 10DP Vol,Global,Zinc,Price,%
LNE1 Comdty,Nickel 1M 50D Vol,Global,Nickel,Price,%
LNP1 Comdty,Nickel 1M 25DC Vol,Global,Nickel,Price,%
LNO1 Comdty,Nickel 1M 10DC Vol,Global,Nickel,Price,%
LNC1 Comdty,Nickel 1M 25DP Vol,Global,Nickel,Price,%
LND1 Comdty,Nickel 1M 10DP Vol,Global,Nickel,Price,%
PBCNRN07 SMMC Index,China Primary Lead Producers Operating Rates Monthly,China,Lead,Utilization Rates,%
CHRMNWSA Index,Floor Space of Houses Newly Started - Monthly,China,Demand,Civil and building construction,Units
CHRMSPAA Index,Floor Space of Buildings Under Construction - Monthly,China,Demand,Civil and building construction,Units
CHRMCOMA Index,Floor Space of Buildings Completed - Monthly,China,Demand,Civil and building construction,Units
CHMMAIRC Index,China Airconditioners Output - Monthly,China,Demand,Air conditioning and refrigeration,Units
CHNMFREE Index,China Freezers Output - Monthly,China,Demand,Air conditioning and refrigeration,Units
CHMMREFR Index,China Household Refrigerators Output - Monthly,China,Demand,Air conditioning and refrigeration,Units
CHMMCOTV Index,China Colour Televisions Output - Monthly,China,Demand,Consumer Durables,Units
CHMMWAMM Index,China Household Washing Machines Output - Monthly,China,Demand,Consumer Durables,Units
ZNCNRN04 SMMC Index,China Refined Zinc Producers Operating Rates Monthly,China,Zinc,Utilization Rates,%
CECNRN08 SMMC Index,China Copper Wire and Cable Producers Total Operating Rates,China,Copper,Utilization Rates,%
